Software Version,3.10.06,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Grant Kinsler\DNAquantification.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Schumer Lab Protocols\DNAquant_SchumerLab.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/31/22,,,,,,,,,,,,,
Time,3:17:08 PM,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,
Reader Serial Number:,2001155,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Shake,Orbital: 1:00 (MM:SS),,,,,,,,,,,,,
,Frequency: 205 cpm (5 mm),,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 488,  Emission: 540",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,
,"    Excitation: 488,  Emission: 540",,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Layout,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,STDB1,SPL1,SPL9,SPL17,SPL25,SPL33,SPL41,SPL49,SPL57,SPL65,SPL73,SPL81,Well ID
,,100,,,,,,,,,,,,Conc/Dil
,B,STDB2,SPL2,SPL10,SPL18,SPL26,SPL34,SPL42,SPL50,SPL58,SPL66,SPL74,SPL82,Well ID
,,50,,,,,,,,,,,,Conc/Dil
,C,STDB3,SPL3,SPL11,SPL19,SPL27,SPL35,SPL43,SPL51,SPL59,SPL67,SPL75,SPL83,Well ID
,,25,,,,,,,,,,,,Conc/Dil
,D,STDB4,SPL4,SPL12,SPL20,SPL28,SPL36,SPL44,SPL52,SPL60,SPL68,SPL76,SPL84,Well ID
,,15,,,,,,,,,,,,Conc/Dil
,E,STDB5,SPL5,SPL13,SPL21,SPL29,SPL37,SPL45,SPL53,SPL61,SPL69,SPL77,SPL85,Well ID
,,10,,,,,,,,,,,,Conc/Dil
,F,STDB6,SPL6,SPL14,SPL22,SPL30,SPL38,SPL46,SPL54,SPL62,SPL70,SPL78,SPL86,Well ID
,,5,,,,,,,,,,,,Conc/Dil
,G,STDB7,SPL7,SPL15,SPL23,SPL31,SPL39,SPL47,SPL55,SPL63,SPL71,SPL79,SPL87,Well ID
,,2,,,,,,,,,,,,Conc/Dil
,H,STDB8,SPL8,SPL16,SPL24,SPL32,SPL40,SPL48,SPL56,SPL64,SPL72,SPL80,SPL88,Well ID
,,0,,,,,,,,,,,,Conc/Dil
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.2,,,,,,,,,,,,,
Actual Temperature:,22.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
